,Topic,Count,Name,Representation,KeyBERT,OpenAI-4,Representative_Docs
10,9,90,9_village_council_villages_tribal,"['village', 'council', 'villages', 'tribal', 'local', 'city', 'meetings', 'tribe', 'tribes', 'government']","['village', 'villages', 'tribe', 'tribes', 'municipalities', 'local', 'council', 'landowner', 'city', 'tribal']",['Tribal Villages Local Government Interaction'],"['village ', ""Well, they ruined they ruined the local. They're local government specialists. See the other people that were cool worked for the state, and your VSW engineers. Then you had your local government specialists who work for DCRA. And their job was to work with local governments.. They had a budget, they'd come out, we'd show them around every few weeks. you know, how is everything going. They've got, see they've got measures they've got to meet, right? So many of your villages are hitting the score. If they're not, why not? Why aren't you doing your job? Well, because I've got a stack of stuff this big, I gotta go through every quarter of the reports from all my villages. And you don't have time to say hey, how's it going? Ya know, what's new and exciting? It's like, you didn't turn in your financial report to the city council. Ya know, so there's been a lot of trust and respect lost by communities with DCRA because of that which is really sad. Because the Constitution requires that there be a department to assist municipalities, local governments. Of course, it also says the mission of the Department of Corrections is rehabilitation. So, we started to get construction money. w one of the one of the things that in we like doing is forced account So force account is where the village gets to do this. And then state goes out to bid and finds an engineer management firm to design it, and then send the pusher out. And of course, get all the equipment. But it'd be like one guy, the mechanic. One guy is the foreman. And everybody else is local on the job. It came out very nice. And these guys, these superintendents, they are you know, they're what you would call in England a builder., this is the guy who comes in before the grounds even clear and tells the dozer operator what to do. And then he lays out where the pilings or the footings are gonna be and supervises and hands on every single step of the way. I mean, they know electric, they know plumbing, they know structural, they know wells and everything. And when I say a long time, I mean a long time ago. So, I don't know if he's still around or not. But these guys, you know, they know how to get along with, with the local crew. They know how to pick talent and how to fire people. Just really, they're squirrely. Oh man they can be squirrely, but we would not have half the infrastructure out here that we do without guys like that. So, the next thing that happened was we started building the lagoon. And one fell apart. And it was "", ""government, the grant and then … So if I'm a tribal council in the village what- ""]"
11,10,87,10_test_pass_exam_testing,"['test', 'pass', 'exam', 'testing', 'tests', 'questions', 'passing', 'answer', 'class', 'teaching']","['tests', 'test', 'testing', 'exam', 'tester', 'pass', 'study', 'passing', 'taking', 'questions']",['Exam Passing Strategies in Teaching'],"['So our pass rates in rural Alaska are horrible. You know, I can\'t remember seven to ten percent, on average, something like that. Those are actually good pass rates for a standard class. We\'ve done some things lately working on some different ways to do the teaching, that have got those higher, but they\'re still less than 50%. I think the highest we got was 40%. And everybody in the state thought it was phenomenal. And that took like a crazy amount of hours into that training to get that amount of pass rate. Most people will take this test multiple times before they pass it. We stopped doing level two tests because most people eventually will get their level one, if they stick with it long enough. Most of them will never pass the level two test. We have RMWs that have failed the level two test and not by a lot, by one or 2%, multiple times. They know more about water treatment than I do. They just don\'t test well. And so one of the common things we hear is ""best answer"" questions, or as they call them locally ""trick questions"". There were trick questions on the test. Best answer questions are almost impossible for people that English is their second language, where they don\'t have real solid grasp on English book learning to understand and break down those questions to get the right answer. So then at that point, now they\'re just one in 4, whether they\'re gonna get it right, right, because it\'s multiple choice, and they\'re gonna stab in the dark, because they don\'t, they don\'t get actually what it\'s saying. A lot of these people, if we read them the test questions, they can tell us the correct answer. But if they read it, they struggle to get the correct answer. So it\'s really amazing to see a guy that can answer every question in class, come up short on the test, every time. You\'re like, he\'s going to nail it this time, and but he just doesn\'t quite, when he reads it himself, it doesn\'t sound the same as when I read the question in class. So. ', 'take a test, right? ', 'test. ']"
12,11,87,11_rainwater_rain_gutters_collect,"['rainwater', 'rain', 'gutters', 'collect', 'use', 'acid', 'heaven', 'prefer', 'rights', 'creek']","['rainwater', 'rains', 'rain', 'raining', 'rainy', 'water', 'flooding', 'floods', 'creeks', 'creek']",['Collecting and Using Rainwater'],"['Rainwater? ', 'Is rainwater? ', 'So from rainwater. ']"
13,12,80,12_systems_change_platform_newer,"['systems', 'change', 'platform', 'newer', 'sense', 'zero', 'upgrades', 'makes', 'failures', 'maintaining']","['systems', 'platform', 'computer', 'upgrades', 'failures', 'design', 'problems', 'newer', 'automated', 'automation']",['Maintaining and Upgrading New Systems'],"['systems. They have a system, and so it doesn’t make sense to me that it’s in the ', 'systems.. ', ""most of our systems, they might do both. And then they're almost… Every system I've ""]"
14,13,80,13_house_houses_door_home,"['house', 'houses', 'door', 'home', 'located', 'live', 'brother', 'theirs', 'idea', 'huge']","['house', 'houses', 'home', 'homes', 'housing', 'upstairs', 'homeowner', 'kitchen', 'bathroom', 'roommates']",['Living in Large Family Home'],"['Within your house. ', 'house. ', ""That's. I was in that house since. ""]"
15,14,79,14_communities_community_talk_water,"['communities', 'community', 'talk', 'water', 'school', 'people', 'public', 'teachers', 'talking', 'pack']","['water', 'infrastructure', 'teachers', 'communities', 'school', 'community', 'homes', 'villages', 'houses', 'people']",['Community Discussions on Water Issues'],"[""Generally, most the time they go. Sometimes people are not, are not happy with the answers, especially when there's when there's a perceived issue that they have, that is not actually a real issue for the community, or not something that can be addressed. We actually have probably the most complaints from school teachers. And I don't know if it's just because the last couple of years, I've dealt with a ton of school complaint issues, but we get a lot of complaints from school teachers that are super unhappy with the quality of water that they get when a lot of times the rest of the community doesn't get that quality or quantity of water. So it's pretty hard to stomach. "", ""It was smoother. So, I look at the look at the map right. So, so the pipes, the pipes were built in stages. I think they're still working on them. You know, they have problems they have, you know, they have freeze ups they are people who haven't been able to pay their water bills and they've gotten disconnected. You know, it's it is not without its problems. And there are some people one of the things that is done and you can talk to you know, people from or other villages. The bad public health impact is it's made the kids and the young man lazy. Because you're not telling your 10-year-old son go pack water. It's Saturday we got to do laundry, go get water to fill the washing machine and they grabbed the sled and they grabbed the five-gallon buckets go get it or go get ice they still do go get ice but you know there's no work involved in turning on the faucet. And that was a traditional chore, you know, going out to pack water. or pack ice and you know they don't do that anymore so it's had an effect on. It's putting more free time on some of these guys. "", ""With this community? Specifically, I feel like probably more of a school problem at the moment. But I mean, the water plants right behind the school, or like parts of the water plant are right behind the school. And in other areas., I mean, with, specifically, houses have had to be moved from their bank where they're also experiencing erosion. And pipes have had to be rerouted to those houses once they have moved their houses. I mean, it's talking about moving houses. I mean, that's a big deal., they're, you know, on stilts, or whatnot, or propped up, but moving house is no small task. And then again, re-piping their water system in a different way to continue water service to those houses. Right. And especially in the small communities that you're talking about. I mean, people, I mean. ""]"
16,15,73,15_hauled_piped_water_hauling,"['hauled', 'piped', 'water', 'hauling', 'wasn', 'haul', 'cleaner', 'prefer', 'delivery', 'parents']","['hauled', 'hauling', 'water', 'rainwater', 'haul', 'freight', 'tugboats', 'pipe', 'piped', 'collecting']",['Hauled Water Delivery and Usage'],"['I have hauled water. ', 'hauled water? ', ""I'm on hauled water. ""]"
17,16,72,16_winter_seasonally_snow_summer,"['winter', 'seasonally', 'snow', 'summer', 'seasonality', 'year', 'wintertime', 'cold', 'seasonal', 'freezing']","['winter', 'wintertime', 'seasonally', 'snow', 'snowy', 'seasonal', 'seasonality', 'cold', 'coldest', 'freezing']",['Seasonal Changes in Winter'],"[',. Is that so mostly kind of like seasonally in the winter, you might have some frozen things, ', 'Before winter, for sure. ', 'winter? ']"
18,17,71,17_taste_tastes_funny_does,"['taste', 'tastes', 'funny', 'does', 'smell', 'jail', 'worried', 'bad', 'color', 'good']","['taste', 'tastes', 'tasted', 'flavor', 'smell', 'smells', 'mouth', 'like', 'boiled', 'sense']",['Experiencing Different Tastes'],"['You can taste it? ', 'taste? ', ', so like the taste. ']"
19,18,69,18_drivers_driver_drive_underpaid,"['drivers', 'driver', 'drive', 'underpaid', 'memory', 'construction', 'trained', 'fault', 'experienced', 'forever']","['drivers', 'driver', 'driving', 'drive', 'drove', 'cab', 'bus', 'customer', 'memory', 'darn']",['Experienced Underpaid Part-Time Drivers'],"[""problem. Some of the drivers just would not do that, and there's a lot of drivers that will. "", 'part time drivers. ', 'drivers were through. And, get this; there was drivers that where there that ']"
20,19,68,19_training_trainings_trained_online,"['training', 'trainings', 'trained', 'online', 'skills', 'med', 'hours', 'did', 'demonstrate', 'trainer']","['training', 'trainings', 'trained', 'trainer', 'trainable', 'train', 'learning', 'skills', 'learn', 'education']",['Online Skills Training Hours'],"['training? ', 'that training? ', 'training? ']"
21,20,67,20_sewer_lagoon_sewers_sewage,"['sewer', 'lagoon', 'sewers', 'sewage', 'enacted', 'jetty', 'lagoons', 'leaking', 'came', 'long']","['sewer', 'sewers', 'sewage', 'lagoons', 'lagoon', 'puddle', 'water', 'faucets', 'basement', 'flow']",['Sewer Lagoon and Water System'],"['Well, that was a sewer grant. Sewer lagoon. Water lift stations, sewer lagoon also. w the really is the only water one. You guys,, did those guys tell you about the ? ', 'Oh are you talking about sewer? Because I always think about water but sewer is a big part of this too. ', ', we have a water and sewer system. ']"
22,21,65,21_gallons_gallon_100_300,"['gallons', 'gallon', '100', '300', 'tank', '1000', 'minute', '200', 'week', 'umm']","['gallons', 'gallon', 'tank', 'tanks', 'water', '100', 'average', 'hydrants', 'soaking', 'tons']",['Gallon Usage and Water Tanks'],"[""Oh, sorry. Quantity., and the, if the system does have somebody that can go around fill up water tanks, it becomes very expensive for a service., there's a standard service, be it depending on where you live and then how many gallons of water you're going to have filled up in your water tank. So it becomes very expensive over time. I mean,, per month, back when I used to live in a very small house. And I only had a gallon water tank that I would get filled up once a week, which even that was kind of a luxury to have., it was just shy of. I mean, a decent paying job and being able to do that was a luxury.. And, there's other people that rely on three to maybe 100 gallons per week. If they can, if that. And the standard. The standard is like 24 per person. 24 gallons for was it 24 gallons per person per day? At like minimum?. So it's, but most people use 100, everywhere else, gallons per day per person. So when you really started to see those health benefits is when you can have more water, and we're talking about 30 gallons to one house, maybe a day, maybe? And that would be, I bet that that does not happen.. That might be like a week or whenever? "", 'Well the tank is 100 gallons and your house is 100 gallons. So I would say on average ', 'somewhere around six, six to twelve gallons a day. About six to twelve gallons a day and ']"
23,22,61,22_cdl_road_cdls_driver,"['cdl', 'road', 'cdls', 'driver', 'did', 'female', 'drivers', 'training', 'job', 'interstate']","['cdl', 'cdls', 'cld', 'driving', 'license', 'drive', 'vehicles', 'licenses', 'vehicle', 'road']",['CDL Driver Training and Jobs'],"['doing, but also for their CDL. ', '""Once you get a CDL, come find me."" ', 'I got my CDL right there in back in.. I just ']"
24,23,58,23_operators_operator_training_longevity,"['operators', 'operator', 'training', 'longevity', 'jump', 'valves', 'follow', 'bit', 'trained', 'mentioned']","['operators', 'operator', 'training', 'operating', 'trained', 'expand', 'experienced', 'hiring', 'communicate', 'question']",['Operator Training and Performance Longevity'],"['So for operator training, operators came in, they got training, how much of that was for ', ', for operators? ', 'Did you work with operators at all? Like operator training? ']"
25,24,58,24_trucks_truck_slower_drive,"['trucks', 'truck', 'slower', 'drive', 'new', 'hours', 'upkeep', 'wears', 'driving', 'loads']","['trucks', 'trucking', 'truck', 'trucker', 'vehicles', 'cabs', 'tractor', 'roads', 'drives', 'drivers']",['New Truck Acquisition and Challenges'],"['I think with all the new trucks and everything, but now I got all these brand new trucks and no drivers. ', ""And the trucks are getting. the trucks are every five years or so. That's our goal is every five. "", ' So, even if we had more trucks or drivers or better trucks or bigger trucks, if they keep ']"
26,25,58,25_pipes_frozen_freeze_freezing,"['pipes', 'frozen', 'freeze', 'freezing', 'pipe', 'violations', 'freezes', 'cold', 'sub', 'froze']","['pipes', 'freezing', 'pipe', 'freezes', 'freeze', 'froze', 'frozen', 'unfreeze', 'sewer', 'thaws']",['Handling Frozen Pipes Issues'],"['What do you do when the pipes freeze? ', ""had any issues with frozen pipes, you've been here over a year so frozen pipes in the winter? "", 'with the pipes in that? Like, have you had frozen pipes? Or? ']"
27,26,57,26_grant_grants_funding_money,"['grant', 'grants', 'funding', 'money', 'loan', 'homeland', 'cybersecurity', 'fund', 'application', 'projects']","['grants', 'grant', 'funding', 'fund', 'funded', 'funds', 'reimburse', 'subsidy', 'federal', 'loan']",['Homeland Security Grant Application'],"['. And you said so you, you got in grant money for that. Is that right? ', ""for grants, they're getting grant funding for stuff. "", "". I'm the one who wrote the loan application.. They formalized the grant loan for us.. That's all online process when they first came out with this. Online Application. All these supporting documents in there and certifications and all this information about city of.. So they gave us the project. Here's your grant, you know, in loan, here's your in grant money. That's what it's supposed to cost. According to the preliminary engineering report done by. So the cost was lower than that they thought we needed in contingency. And having, this being the second time going after grants. It's a little bit insidious what they do. They add this huge contingency hoping you don't use it. And then they take the grant money back. I'm like, Ah, force us to use the loan money first. We have to use the loan money first. You're guaranteed paying all that money back, and then in grant money, all the contingencies. So high. Only needed in grant money that you thought you were gonna get, you don't get. ""]"
28,27,54,27_week_weeks_year_weekly,"['week', 'weeks', 'year', 'weekly', 'month', 'twice', 'say', 'goal', 'times', 'check']","['week', 'weekly', 'frequently', 'weeks', 'everyday', 'month', 'times', 'years', 'day', 'twice']",['Weekly and Biweekly Schedules'],"['Once a week. ', 'week. ', 'I think when we were doing, I think we do it two weeks, two times a week now, when it was more ']"
29,28,53,28_interesting_little_think_conversation,"['interesting', 'little', 'think', 'conversation', 'experiences', 'sounds', 'understand', 'understanding', 'haven', 'example']","['interesting', 'thinking', 'anecdotes', 'experiences', 'think', 'thought', 'conversation', 'idea', 'quite', 'cognitive']",['Understanding Experiences Through Conversation'],"[""So, that's just, it's kind of interesting. And I've had, I told myself, like, you know, just just listen and "", 'That’s very interesting. So there is a there is a kind of I think it seems pretty large when I think about ', ""It sounds like maybe that has been taken away. So that it's interesting and helpful to hear a little more about a bigger thing. What else, ? What am I missing? ""]"
30,29,53,29_freeze_frozen_freezes_thaw,"['freeze', 'frozen', 'freezes', 'thaw', 'thawed', 'section', 'cord', 'thaws', 'extension', 'break']","['freezing', 'freezes', 'frozen', 'freeze', 'froze', 'thawing', 'thawed', 'colder', 'thaws', 'frost']",['Freezing and Thawing Process'],"['Freeze and thaw, and moving around. ', ', but those do freeze up. That did freeze up on me when I was up there last year. The ', ""freeze solid right there. Right when you'd get up to the first house, they're frozen. A lot ""]"
31,30,52,30_job_hire_hard_work,"['job', 'hire', 'hard', 'work', 'jobs', 'anymore', 'motivated', 'meant', 'hiring', 'people']","['hiring', 'hire', 'jobs', 'employment', 'job', 'hard', 'employee', 'tough', 'employees', 'harder']",['Difficulties in Job Hiring'],"[""I mean, if you said it's a hard job, so it's probably a little short. "", '. But sounds like it makes it hard to hire sometimes, too, h? ', 'hard to hire people? Is it hard to train them? Who are these people? ']"
32,31,51,31_pay_expenses_month_tested,"['pay', 'expenses', 'month', 'tested', '25', 'rates', 'bills', 'rate', 'revenue', 'flat']","['expenses', 'billing', 'revenue', 'fee', 'income', 'payments', 'paying', 'pay', 'taxes', 'revenues']",['Monthly Flat Rate Expenses'],"['month, their expenses, and then it would have income- ', ""We spent it. Because it's. If someone says here man, you can have this if you can spend it. All right. We'll spend it. We came up with all kinds of stuff. Airport incentive program. Well, we'll get $25 coupons. $25 gift certificates from restaurants. So we're supporting local businesses, we'll pay people and actually ran this program... Hired all these people went to the airport, two or three of us. People got off the plane. Hey, welcome to. $25 if you get tested, we encourage you to get tested. Everybody coming into town. We can't force you. Please get tested. Get tested. Here's $25 if you get tested. As soon as they got tested in the little thing, they got a little card thing. made this thing. We were on the other side going, we were telling them about it then we were giving them the coupon. Supports local businesses. $25 Whether they spend it or not, the money is already in there. Already purchased., exactly. So it helps the restaurant. And we got a lot more test results. got a lot more test results. They were able to identify more people with COVID. So that's one of the many programs we did with the. We also spent some on was it water or sewer? Lift station money. Sewer. What else do we do for water? We did get a grant. "", ""how much you're using? Or do you just pay like a flat rate every month? ""]"
33,32,50,32_certification_certified_certifications_training,"['certification', 'certified', 'certifications', 'training', 'ceus', 'job', 'renew', 'classes', 'state', 'operators']","['certifications', 'certification', 'certified', 'certify', 'trainings', 'courses', 'training', 'specialty', 'exams', 'licenses']",['Operator Certification and Training'],"["". So work closely with trying to develop techniques and approaches to get operators certified and send them to get them certified and make sure that the subject and the classes that are being taught are helping operators pass the licenses. a lot of classes around the state teaching different aspects of treatment or distribution, mostly distribution, PRB training, stuff like that, but actively review certification ABC exams and test questions and whether or not they're applicable to both for operators in Alaska.. "", ""certification. But if they've got their certifications, they do all their testing that they… And "", ""What's your opinion on certification? And like how certified operators? ""]"
34,33,49,33_chlorine_taste_smell_tastes,"['chlorine', 'taste', 'smell', 'tastes', 'strong', 'chlorination', 'river', 'add', 'dad', 'benefits']","['chlorine', 'chlorination', 'chlorinated', 'chloramine', 'bleach', 'water', 'waters', 'rainwater', 'wash', 'taste']",['Chlorine Taste and Its Benefits'],"['Chlorine ', 'Too much chlorine? ', 'Too much chlorine ']"
35,34,47,34_confidence_understand_needed_experienced,"['confidence', 'understand', 'needed', 'experienced', 'concept', 'decisions', 'hey', 'doing', 'goal', 'thinking']","['confidence', 'confident', 'success', 'experienced', 'successful', 'strength', 'expertise', 'pride', 'advice', 'influence']",['Building Confidence for Decision Making'],"['confidence. So there was a lot of confidence building like, hey, you got this. That type of ', 'It really does. Once they get a little bit of confidence, they understand the concept, they ', 'confidence. You have confidence that somebody\'s like, ""Hey, no, stop., you\'re doing ']"
36,35,46,35_expensive_affordable_cost_expense,"['expensive', 'affordable', 'cost', 'expense', 'pretty', 'affordability', 'wow', 'wise', 'bucks', 'store']","['expensive', 'cost', 'cheap', 'costs', 'affordable', 'costly', 'cheaper', 'price', 'expense', 'affordability']",['Evaluating Item Affordability & Cost'],"['. It’s expensive. ', 'expensive? ', "". Do you feel like that's affordable? Or is it kind of expensive? ""]"
37,36,46,36_brown_color_yellow_orange,"['brown', 'color', 'yellow', 'orange', 'tinge', 'filter', 'mellow', 'literally', 'reddy', 'graywater']","['brownish', 'brown', 'yellowish', 'color', 'yellow', 'grey', 'orange', 'blackish', 'black', 'yellowy']",['Brown and Yellow Water Colors'],"['The brown? ', ""If sometimes, but there's once in a great while it'll be like brown or yellow., so that's how "", ""My water is like, this color., it's a little brown. It's like in between that and this., it's not actually ""]"
38,37,45,37_expensive_cost_pay_affordability,"['expensive', 'cost', 'pay', 'affordability', 'gas', 'paying', 'water', 'involved', 'produce', 'burden']","['costs', 'water', 'costly', 'expensive', 'cost', 'bottled', 'affordable', 'affordability', 'cheap', 'filtration']",['Cost of Bottling Water'],"["",. so do you feel like it's expensive to get water when you need water? "", ""affordability of the water? And we kind of said that it's expensive when it's piped and even more when "", 'It’s expensive more for it.... And I mean how’s the cost if you find water expensive to ']"
39,38,44,38_water_need_tell_provided,"['water', 'need', 'tell', 'provided', 'tap', 'awesome', 'home', 'household', 'use', 'sink']","['water', 'drink', 'sink', 'drinking', 'tap', 'pour', 'flows', 'containers', 'questions', 'home']",['Household Water Usage and Source'],"[', and then can you tell me about your water? How do you get your water that you use for drinking ', 'So it sounds like you work all over the place. So some of these questions might need to qualify a little bit but can you tell me about the how drinking water is provided in the places that you work? ', ""So, that's awesome. That's super cool. So we're gonna talk a little bit about just kind of how you use water and your experiences with water. And then we can kind of go a little bit broader, and talk about community. But so how do you get water at your home here in ? And how do you use that water? ""]"
40,39,43,39_wow_oh_dear_goodness,"['wow', 'oh', 'dear', 'goodness', 'aha', 'yikes', 'shares', 'meh', 'yup', 'pain']","['wow', 'oh', 'ah', 'aha', 'meh', 'yup', 'great', 'yikes', 'really', '']",['Expressions of Surprise and Emotion'],"[' Oh, wow. ', 'Oh wow,,. ', 'Oh, wow.. ']"
41,40,43,40_education_school_educational_background,"['education', 'school', 'educational', 'background', 'teachers', 'college', 'degrees', 'professional', 'teach', 'degree']","['education', 'schooling', 'educational', 'educate', 'educated', 'educator', 'schools', 'teaching', 'school', 'teachers']",['Reevaluating Educational Systems and Degrees'],"['So it starts in the school system, but I would change the way education is done to ', ""And with that being said, I feel like so, maybe some of the families that I know here like don't think that the educational system is as good as it can be, and they give their kids extra homework on the side. So that you they can have the options. Thinking of, thinking of like, people that want to set their kids up for success living in an area where the standards are very low, you showed up, here's a pat on the back. That is where the standard is on education, I feel a lot of the times, is you showed up, you kind of did something, or you turned it in severely late, and you still get credit for doing it is where the education system is in. Imagine going out to the village where it's going to be completely different. "", 'When you say education, you mean like the school system or you mean like education ']"
42,41,42,41_question_answer_don_sure,"['question', 'answer', 'don', 'sure', 'uh', 'know', 'winded', 'rephrase', 'think', 'mmm']","['wonder', 'question', 'asked', 'knows', 'thinking', '', '', '', '', '']",['Uncertainty in Question Answering'],"['I don’t know. ', 'don’t know. ', ""Let's see. That is a great question that I'm not sure how to answer. ""]"
