,Set,Interview,Page,Block,Speaker,Text,Time_Mark
25,21-22 Combined,INTERVIEW 1 ,4,1,Interviewee 1 ,Pipe water is the way to go. ,11:23
29,21-22 Combined,INTERVIEW 1 ,4,1,Interviewee 2 ,"Yeah, it's way cheaper. I looked. I think [REDACTED] about the same size as [REDACTED]. I looked at their  utilities. They run about half as much as what our costs are. They're right around [REDACTED] a year in  water and sewer services. ",11:24
31,21-22 Combined,INTERVIEW 1 ,4,1,Interviewer 1 ,And probably more reliable too. ,11:43
26,21-22 Combined,INTERVIEW 1 ,4,1,Interviewee 1 ,"Yeah, it's unlimited water really. ",11:46
32,21-22 Combined,INTERVIEW 1 ,4,1,Interviewer 1 ,"Yeah, they're not taking. They don't take holidays and. ",11:48
27,21-22 Combined,INTERVIEW 1 ,4,1,Interviewee 1 ,"The other consequence of the truck too, that you don't think about is the wear and tear on the roads. And  that's especially on gravel roads. And these are big trucks and they're heavy. And so anyway. ",11:52
33,21-22 Combined,INTERVIEW 1 ,4,1,Interviewer 1 ,"Especially when it rains all winter. So looking at some other challenges, we start from where the water is  made. We got [REDACTED] water plants here.  ",12:10
34,21-22 Combined,INTERVIEW 1 ,5,1,Interviewee 1 ,"Yeah, that's [REDACTED] domain. ",12:23
41,21-22 Combined,INTERVIEW 1 ,5,1,Interviewer 1 ,Are there challenges with that? Are we making enough water? Are we gonna be able to make enough  water? Any bottlenecks there? ,12:29
37,21-22 Combined,INTERVIEW 1 ,5,1,Interviewee 2 ,"No. Right now [REDACTED] running at 45% capacity. [REDACTED] is running at 22% capacity. If and when  the [REDACTED] project goes on, we'll be right around 44% capacity. ",12:34
42,21-22 Combined,INTERVIEW 1 ,5,1,Interviewer 1 ,"And the [REDACTED], adding a bunch of houses, right?  ",12:52
38,21-22 Combined,INTERVIEW 1 ,5,1,Interviewee 2 ,Yeah. Right now it's slated at [REDACTED]. ,12:56
43,21-22 Combined,INTERVIEW 1 ,5,1,Interviewer 1 ,"Wow. This is good news, right?  ",13:01
39,21-22 Combined,INTERVIEW 1 ,5,1,Interviewee 2 ,"Yeah, it is.  ",13:04
35,21-22 Combined,INTERVIEW 1 ,5,1,Interviewee 1 ,We were ready to move and we were ready to go to construction this year. ,13:05
44,21-22 Combined,INTERVIEW 1 ,5,1,Interviewer 1 ,Right I thought this was supposed to be done. I thought I'd be cutting a ribbon here or something. ,13:09
40,21-22 Combined,INTERVIEW 1 ,5,1,Interviewee 2 ,Well it went from [REDACTED]. That's what the bids came in at.  ,13:12
36,21-22 Combined,INTERVIEW 1 ,5,1,Interviewee 1 ,"So now we're just have to sit back and wait, see if the world comes to some senses here. But the USDA is  out there looking for trying to find some extra, with upping the grants. And but like I said earlier, that is a  lot of red tape once you get into the government, USDA, EPA, whoever it is it that's a big challenge too.  Took us two years just to get to the application. And so yeah, they got a thing called the letter of  conditions. By the time you're done filling it out, It's about two of those three ring binders. Yeah, so a lot  of work just prepping to get to a point where you can actually go to work. ",13:18
45,21-22 Combined,INTERVIEW 1 ,5,1,Interviewer 1 ,How about water plant operators? ,14:03
48,21-22 Combined,INTERVIEW 1 ,6,1,Interviewee 2 ,"I'm hurting. Yeah, there's [REDACTED] operators normally for the positions. I only have [REDACTED] right  now and I'm working on hiring an outside firm to come in and help us.  ",14:06
53,21-22 Combined,INTERVIEW 1 ,6,1,Interviewer 1 ,"Yeah, okay.  ",14:19
49,21-22 Combined,INTERVIEW 1 ,6,1,Interviewee 2 ,"These guys are working seven days a week right now and they're gonna get burned out. So I talked to a  gentleman in [REDACTED]. He's willing to come out Friday, Saturday, and Sundays. So the guys will get  every other weekend off or at least some break. ",14:22
46,21-22 Combined,INTERVIEW 1 ,6,1,Interviewee 1 ,"And I think that's a nationwide problem, too. [REDACTED], one of our council members sent me an article  on how Austin, Texas was hurting for water plant operators. And they're boiling their water. ",14:35
58,21-22 Combined,INTERVIEW 1 ,6,1,Interviewer 2 ,[REDACTED] ,14:48
54,21-22 Combined,INTERVIEW 1 ,6,1,Interviewer 1 ,"Yeah. The worst we have is [REDACTED]. So what happens then if, you know, you end up down to  [REDACTED] and they get hit. I mean, what if somebody gets hit by a bus? And I mean,  ",14:56
50,21-22 Combined,INTERVIEW 1 ,6,1,Interviewee 2 ,"I'm going back to a water plant, I guess?  ",15:18
47,21-22 Combined,INTERVIEW 1 ,6,1,Interviewee 1 ,Set up a cot.  ,15:20
55,21-22 Combined,INTERVIEW 1 ,6,1,Interviewer 1 ,"Um, okay. You're kind of the backup plan then? ",15:22
51,21-22 Combined,INTERVIEW 1 ,6,1,Interviewee 2 ,Yeah just as long as [REDACTED] still around because he's the level [REDACTED]. we have to have a level  [REDACTED].  ,15:26
56,21-22 Combined,INTERVIEW 1 ,6,1,Interviewer 1 ,"He's been around a long time though, right? I mean,  ",15:32
52,21-22 Combined,INTERVIEW 1 ,6,1,Interviewee 2 ,[REDACTED] years.  ,15:34
57,21-22 Combined,INTERVIEW 1 ,6,1,Interviewer 1 ,Yeah. So he might not be around forever. ,15:35
59,21-22 Combined,INTERVIEW 1 ,7,1,Interviewee 1 ,You can't get him out of there. He won't retire.  ,15:37
60,21-22 Combined,INTERVIEW 1 ,7,1,Interviewee 1 ,[REDACTED] ,15:41
63,21-22 Combined,INTERVIEW 1 ,7,1,Interviewee 2 ,I asked him.  ,15:41
64,21-22 Combined,INTERVIEW 1 ,7,1,Interviewee 2 ,"Yeah, I did the math on his retirement, he would be making [REDACTED]. But Yeah, I mean, it's tough to  figure it out. I mean, I can't do everything. ",15:47
61,21-22 Combined,INTERVIEW 1 ,7,1,Interviewee 1 ,"The training's offered, that's a good thing. ",16:04
65,21-22 Combined,INTERVIEW 1 ,7,1,Interviewee 2 ,"Yeah we got the training. But then we're in a bind right now where we're so shorthanded, I can't even  send anybody to training. You know, I can, but then I'm really hurting myself.  ",16:07
68,21-22 Combined,INTERVIEW 1 ,7,1,Interviewer 1 ,To where do you send people? ,16:16
71,21-22 Combined,INTERVIEW 1 ,7,1,Interviewer 2 ,Either [REDACTED] or [REDACTED].  ,16:18
62,21-22 Combined,INTERVIEW 1 ,7,1,Interviewee 1 ,That's what that rural ,16:20
66,21-22 Combined,INTERVIEW 1 ,7,1,Interviewee 2 ,"ARWA, Alaska Rural Water Association usually puts one on, NTL puts one on, ",16:21
69,21-22 Combined,INTERVIEW 1 ,7,1,Interviewer 1 ,[REDACTED] ,16:30
67,21-22 Combined,INTERVIEW 1 ,7,1,Interviewee 2 ,They only do small treatments here. We have to have a level [REDACTED]. ,16:33
70,21-22 Combined,INTERVIEW 1 ,7,1,Interviewer 1 ,Okay. Because we've heard a lot from other communities about trying to keep an operator and find an  operator and train an operator and get their operator to pass the test instead of just show up for the class  and fail the test over and over again. I've heard a lot about that.  ,16:43
73,21-22 Combined,INTERVIEW 1 ,8,1,Interviewee 2 ,"Yeah the test. From what I understand, it's like a 27% pass rate nationwide, your first time taking it, it is a  tough test. You know, most people with the city that go and take it, the majority of them don't pass it the  first go-around. It's pretty tough. Especially if you're really green and never been in a water plant, and  then here you're going to class, go get your license. And yeah, it's really tough. ",17:00
79,21-22 Combined,INTERVIEW 1 ,8,1,Interviewer 4 ,"So yeah, yeah, I have a couple of follow up questions specifically about kind of operator training. And I  know you said you're certified too so even if you want to think back to some of your experiences as well,  you know, what do you think was more helpful for on the job? Like, is the certification helpful? Or is it  more just kind of a checkbox to be able to do your job? ",17:27
74,21-22 Combined,INTERVIEW 1 ,8,1,Interviewee 2 ,"It's more of a checkbox. I mean, we got pretty simple water plants. I mean, there's sand filters, you just  got to pay attention to chlorine levels, fluoride levels, you know, the biggest two. you know, it's really  hands on. But we're required to have a level [REDACTED] through the state. You know, but we have to  have a level [REDACTED] on staff because we're a level [REDACTED] system. So we always have to have  somebody on staff that is a level [REDACTED] that can respond to either water plant within an hour. ",17:52
77,21-22 Combined,INTERVIEW 1 ,8,1,Interviewer 1 ,And we got one and he's been there [REDACTED] years. ,18:23
75,21-22 Combined,INTERVIEW 1 ,8,1,Interviewee 2 ,"And it's, you know, you got to do 1900 hours just to get your level one, then you got to do another 1900  hours to get your level two. So it's not like you can just go take a test and get it, you still got to do your  time.  ",18:29
72,21-22 Combined,INTERVIEW 1 ,8,1,Interviewee 1 ,"Yeah, it sounds like. I was [REDACTED] for a while, and we had to get Coast Guard licenses and, and they  were having a hard time finding, getting licensed captains. And what they actually did was start in 10th  grade. Start to approach people. So they got practical experience in the summertime. And then when they  graduated there, they can do what he was doing. You take your number of hours in and then you can  move on, but it sounds like the water plant operators are in the same way we need to start down at the  lower level of vocational education. So you know, the older you are, the harder it is to study too. ",18:43
76,21-22 Combined,INTERVIEW 1 ,8,1,Interviewee 2 ,"One position that's open right now is water pipe coordinator. When [REDACTED], it's like okay, I'm gonna  have a hard time filling this. What do I do? So I posted it starting at [REDACTED] a year. And I had one  person interested in it in three years. ",19:24
78,21-22 Combined,INTERVIEW 1 ,8,1,Interviewer 1 ,Wow. What are the requirements for that? ,19:42
81,21-22 Combined,INTERVIEW 1 ,9,1,Interviewee 2 ,"It should be a level [REDACTED] but the one person that showed interest I was considering hiring strongly.  And she didn't even have her level [REDACTED] yet. It was [REDACTED]. Yeah, because I knew she could  keep up with all that paperwork. ",19:46
242,21-22 Combined,INTERVIEW 1 ,25,1,Interviewee 2 ,"And the trucks you gotta keep them in a secured location, they gotta be in a locked building, you can't sit  outside, you can't park them outside ",1:00:01
249,21-22 Combined,INTERVIEW 1 ,25,1,Interviewer 2 ,"From a worker and operator perspective, is piped safer for the people doing the work? ",1:00:10
243,21-22 Combined,INTERVIEW 1 ,25,1,Interviewee 2 ,"Yeah, a lot safer.  ",1:00:17
246,21-22 Combined,INTERVIEW 1 ,25,1,Interviewer 1 ,nobody ever crashed a water pipe? ,1:00:20
252,21-22 Combined,INTERVIEW 1 ,26,1,Interviewee 2 ,I had a water truck hit the water pipe. ,1:00:23
259,21-22 Combined,INTERVIEW 1 ,26,1,Interviewer 4 ,"And then for water quality, is it another, you mentioned earlier right about the when you're delivering if  the pipes touching the ground or things like that. So you think pipe water is also a lot safer for maintaining  water quality? ",1:00:30
253,21-22 Combined,INTERVIEW 1 ,26,1,Interviewee 2 ,Yeah. Even the drivers I mean on accident they'll drive away from the water plant with their hatch open  on top. What could get in there? Dropping the hose on the ground and not realizing that they did  anything? You know? ,1:00:44
256,21-22 Combined,INTERVIEW 1 ,26,1,Interviewer 1 ,"Yeah, as a homeowner too. I mean, having done it both ways, piped waters, like kind of a closed system  and even having had a bird flap up into my overflow, right? ",1:00:58
250,21-22 Combined,INTERVIEW 1 ,26,1,Interviewee 1 ,Then you have the sewer drivers have got to put up with hepatitis B and all the stuff that comes associated  with that. ,1:01:09
254,21-22 Combined,INTERVIEW 1 ,26,1,Interviewee 2 ,I think [REDACTED] went around and they did some testing of holding tanks. ,1:01:17
257,21-22 Combined,INTERVIEW 1 ,26,1,Interviewer 1 ,Looking at chlorine residuals? ,1:01:24
255,21-22 Combined,INTERVIEW 1 ,26,1,Interviewee 2 ,Yeah and just did some seeing what was in the water in the tanks. I think I'm pretty sure it was her that  headed that up just to see what tanks were doing. And I think she said the tanks come back pretty bad.  ,1:01:25
258,21-22 Combined,INTERVIEW 1 ,26,1,Interviewer 1 ,"Well, it's kind of an open question right? like chlorine residual from piped water, you know what it is every  day. They test it at the plant. Right? But if you deliver water to my house, and it sits there for 30 days,  because I only get water once a month. Right? And if I got if it's not covered or dust or algae starts growing,  or whatever falls in there, you know. ",1:01:38
251,21-22 Combined,INTERVIEW 1 ,26,1,Interviewee 1 ,"Yeah like we don't have building codes here. And so you know, plastic tanks are used steel tanks used,  Lord knows what else and with it, you know, you got chlorine in the water, there's going to be a chemical  reaction to Yeah, I used to deliver fuel in [REDACTED] and we had the same problem with fuel tanks, yeah.  Yeah, stuff happens inside the sediment ",1:01:59
264,21-22 Combined,INTERVIEW 1 ,27,1,Interviewee 2 ,"One house I went to they called me out last week and asked me if I could load their tank for them. They  had white plastic tanks. And I looked in there to figure out what it was I finally got my way up and got in  that tank and they had algae growing in there. And, but they had a window right next to their tank. So all  that light was going into that tank growing all this algae, you know, I told her to mop it up best you can  and chlorinate your tank, and you'll be good. But you get some of these tanks that are aluminum and  steel, you can't see in them. I've looked in a couple of steel ones before. pretty gnarly. ",1:02:29
260,21-22 Combined,INTERVIEW 1 ,27,1,Interviewee 1 ,"You know, we went through that with fuel tanks too is trying to get when they're manufactured, they  don't usually take in consideration that maybe somebody has to crawl inside them to clean them. And so  just simply at the manufacturing stage if you had a manhole or something on there, so you can do  something but people that's expensive to change a tank out, especially up here so they just leave it and  pretty soon you get a. ",1:03:05
265,21-22 Combined,INTERVIEW 1 ,27,1,Interviewee 2 ,Then you got the water pump. ,1:03:33
261,21-22 Combined,INTERVIEW 1 ,27,1,Interviewee 1 ,But you don't have to put up with that with piped water.  ,1:03:34
267,21-22 Combined,INTERVIEW 1 ,27,1,Interviewer 1 ,"Yeah, yeah, I got we're got a rental over there, dealing with all that stuff. Replace the tank that is old. But  it's I mean, shorty made it to exactly fit in the space that was there. So to cut it to get it out and then to  get the new one and I had to I mean, there's no I would have liked to switch to plastic but I can't find one  to fit well unless I want to go from a big tank to a little tank right in that space. And then the tenants burn  up the pumps and ",1:03:36
262,21-22 Combined,INTERVIEW 1 ,27,1,Interviewee 1 ,There's just a whole bunch of stuff that goes on with these ,1:04:10
266,21-22 Combined,INTERVIEW 1 ,27,1,Interviewee 2 ,"One thing [REDACTED] always said it was keep the hauled, they want to build the pipeline. ",1:04:18
268,21-22 Combined,INTERVIEW 1 ,27,1,Interviewer 1 ,Yeah. What else? ,1:04:26
269,21-22 Combined,INTERVIEW 1 ,27,1,Interviewer 4 ,"I mean, I guess we've talked about a lot of different kinds of challenges with water infrastructure. Is there  anything we haven't asked you yet or any other stories or challenges you can think of?  ",1:04:32
263,21-22 Combined,INTERVIEW 1 ,27,1,Interviewee 1 ,"Well, another one with hauled here we keep going on hauled is driveways. These trucks are big trucks and  who builds a house that's going to take a semi-truck down the middle of your driveway? We have a lot of  a lot of damage. Insurance comes into play. And right now our code is that we, I think we pay for the first ",1:04:51
270,21-22 Combined,INTERVIEW 1 ,28,1,Interviewee 1 ,"[REDACTED]. So you get a lot of claims, and they start to add up that's coming out of your pocket book,  not the insurance company. And that's, it seems they call every time you start talking about hauled water  and sewer, you always come up with something.  ",1:04:51
275,21-22 Combined,INTERVIEW 1 ,28,1,Interviewer 1 ,How about flooding? ,1:05:35
271,21-22 Combined,INTERVIEW 1 ,28,1,Interviewee 1 ,"Flooding too. Yeah, that's another problem. So that goes maybe to education. And I don't know how quite  to get the word out to everybody. But tanks will overflow. And there are ways to prevent, there's  electronic means. It costs the homeowner probably, we figured $250 to $500 a tank. And the thing is you  got the truck driver outside and he's filling a tank and a lot of times he can't see what's going on inside.  There's overflow pipes on the tanks. But a lot of times the water's coming in faster than the overflow can  handle. So out the top it comes and the guy standing out there pumping away and pretty soon, your house  is full of water. And that has happened quite a bit. And it's like I was saying I was in the fuel business. And  normally, we would not fill a tank unless somebody was physically watching the tank. So it took two people  but it's not realistic to drive two people. So that has been an ongoing, big issue. And part of part of the  cost too to the insurance company will just keep paying and paying out which runs your premium up. So  we kind of got a handle on that one in the last four or five years. But that is a problem with it. And that  this stuff starts with the homeowner when he's building another house knowing that you know that he  needs to have an overflow gauge on his on his tank. And we don't have a building code here. And that was  probably where that would play in if we did. ",1:05:36
276,21-22 Combined,INTERVIEW 1 ,28,1,Interviewer 1 ,And sometimes they freeze too. I mean I've had that happen. ,1:07:21
272,21-22 Combined,INTERVIEW 1 ,28,1,Interviewee 1 ,"Right so the overflows will freeze, so that's another issue and we go up and they bang on them. And but  yeah, so that's, that is another problem in the wintertime. So we're full of freezing, nothing cut because  that's how they tell if that if it's overflowed on the outside, if it starts coming if water starts coming out of  the overflow, then they know to shut it. They could discharge water from the truck. But that's where the  alarm comes in. And they need some way to ",1:07:24
277,21-22 Combined,INTERVIEW 1 ,28,1,Interviewer 1 ,"it seems like that speaks to the importance of good employees too though right? So if you got a delivery  guy who's paying attention and is experienced, and he knows he's listening and watching versus, ",1:07:59
273,21-22 Combined,INTERVIEW 1 ,28,1,Interviewee 1 ,"but a lot of times it'll come from, if the overflow pipe isn't big enough to handle the discharge, we're  pumping it you know, 100 gallons a minute. And so even by the time it's come out of that discharge pipe,  it's already overflowing ",1:08:13
274,21-22 Combined,INTERVIEW 1 ,28,1,Interviewee 2 ,They were pumping 100 gallons. I slowed them down so we don't have that issue.  ,1:08:30
285,21-22 Combined,INTERVIEW 1 ,29,1,Interviewer 1 ,"That's funny, we watched a pump guy fill up today and I was like, oh, that must have been a really thirsty  house because it seemed like it was taking some time.  ",1:08:37
281,21-22 Combined,INTERVIEW 1 ,29,1,Interviewee 2 ,I backed them down to 80 gallons/minute. ,1:08:44
278,21-22 Combined,INTERVIEW 1 ,29,1,Interviewee 1 ,"I mean, I think that's a consideration too is that when you know if you're starting from scratch you know  I'm gonna go deliver use trucks to deliver water is I don't think there's enough effort put it how much time  does it take to do each one of these? Then by the time you add it up and go, well, I was surprised you  know, so you know that the 1000 gallons gonna sit there for 20 minutes to a half an hour. ",1:08:48
282,21-22 Combined,INTERVIEW 1 ,29,1,Interviewee 2 ,And it takes us 20 minutes to fill the truck.  ,1:09:13
279,21-22 Combined,INTERVIEW 1 ,29,1,Interviewee 1 ,"So there goes just labor costs and all that. Those aren't things you really think about I guess. We should  be thinking about it. Don't always get thought about when you say okay, we're gonna deliver water by  truck. ",1:09:18
286,21-22 Combined,INTERVIEW 1 ,29,1,Interviewer 1 ,What do you think's gonna happen with the [REDACTED]? Just waiting on money? ,1:09:32
280,21-22 Combined,INTERVIEW 1 ,29,1,Interviewee 1 ,"So the bids came in in [REDACTED] and we had 60 days for it to before we can back out or just say it's too  much Yeah, so we're just gonna let things cool down and go out to bid again. ",1:09:51
287,21-22 Combined,INTERVIEW 1 ,29,1,Interviewer 1 ,"you think it's, you think prices are gonna come down? ",1:10:05
283,21-22 Combined,INTERVIEW 1 ,29,1,Interviewee 2 ,"Well I mean, it's crazy like, like our pumps, they just went up $300 a piece in two weeks. ",1:10:08
288,21-22 Combined,INTERVIEW 1 ,29,1,Interviewer 1 ,Lumbers kind of peak and come back down right? ,1:10:27
284,21-22 Combined,INTERVIEW 1 ,29,1,Interviewee 2 ,"It's a little bit it's not back to where it was, you know a lot of other things are just astronomical trying to  find something. And the lead time, right. I mean, I lost the waterline I had to lay the new line in the dead  of winter on top of the guy's driveway. So I told him I said, well I'll come back this spring. springs here and  I can't even get the materials ",1:10:30
289,21-22 Combined,INTERVIEW 1 ,30,1,Interviewee 1 ,"steel mill products have gone up 127% Since 2020, plastic construction products, 34%, and so forth. It's in  the first page here. construction for building a house is up 25%. Yeah, these things, these things this is  kind of interesting. Yeah. Crazy. ",1:10:52
300,21-22 Combined,INTERVIEW 1 ,30,1,Interviewer 4 ,"Yeah, well, one question that we've been asking too, is kind of, if you could wave a magic wand and fix  one thing, what would you do?  ",1:11:24
295,21-22 Combined,INTERVIEW 1 ,30,1,Interviewee 2 ,Pipe the whole town.  ,1:11:33
290,21-22 Combined,INTERVIEW 1 ,30,1,Interviewee 1 ,That's exactly what we'd do. We need about [REDACTED] million dollars. Get it over with. ,1:11:36
298,21-22 Combined,INTERVIEW 1 ,30,1,Interviewer 1 ,"Anecdotally, you know, when I've talked to guys at public works, you know, talking to the drivers versus  talking to the, you know, the guys that spend their time on the pipe water system, you know, just how  much they like that so much better. It's like, it's great. You just drive around in the truck. And then if the  lights on you stop. And if it's not, you don't stop ",1:11:42
291,21-22 Combined,INTERVIEW 1 ,30,1,Interviewee 1 ,And that's too with the SCADA system. So they probably won't have to drive around. ,1:12:00
296,21-22 Combined,INTERVIEW 1 ,30,1,Interviewee 2 ,Well they still need to go to every house to see if a red lights on.  ,1:12:05
292,21-22 Combined,INTERVIEW 1 ,30,1,Interviewee 1 ,"I know. But I mean, if you get your new system going, you should be notified if those lights go on, right? ",1:12:08
